record_id,username,is_anomaly,anomaly_type,severity,explanation
USR00000,pooja.murphy,False,NORMAL,NONE,Account within expected parameters
USR00001,daniel.singh,False,NORMAL,NONE,Account within expected parameters
USR00002,kenneth.moore,False,NORMAL,NONE,Account within expected parameters
USR00003,sanjana.li,False,NORMAL,NONE,Account within expected parameters
USR00004,diya.anderson,False,NORMAL,NONE,Account within expected parameters
USR00005,george.lim,False,NORMAL,NONE,Account within expected parameters
USR00006,kevin.ramirez,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 46 days
USR00007,robert.smith,False,NORMAL,NONE,Account within expected parameters
USR00008,thomas.iyer,False,NORMAL,NONE,Account within expected parameters
USR00009,aditya.burke,False,NORMAL,NONE,Account within expected parameters
USR00010,jacob.patel,False,NORMAL,NONE,Account within expected parameters
USR00011,maria.o'brien,False,NORMAL,NONE,Account within expected parameters
USR00012,vikram.white,False,NORMAL,NONE,Account within expected parameters
USR00013,jonathan.jackson,False,NORMAL,NONE,Account within expected parameters
USR00014,david.thomas,False,NORMAL,NONE,Account within expected parameters
USR00015,sophia.white,True,OVER_PRIVILEGED_ADMIN,HIGH,Admin has access to 7 systems - exceeds typical scope
USR00016,elena.dubois,False,NORMAL,NONE,Account within expected parameters
USR00017,diya.schulz,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 46 days
USR00018,meera.burke,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 59 days
USR00019,joshua.white,False,NORMAL,NONE,Account within expected parameters
USR00020,karan.white,False,NORMAL,NONE,Account within expected parameters
USR00021,rohan.harris,False,NORMAL,NONE,Account within expected parameters
USR00022,harsh.patel,False,NORMAL,NONE,Account within expected parameters
USR00023,isha.jones,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 55 days
USR00024,nicholas.jackson,False,NORMAL,NONE,Account within expected parameters
USR00025,diya.romano,False,NORMAL,NONE,Account within expected parameters
USR00026,stephen.bhat,False,NORMAL,NONE,Account within expected parameters
USR00027,pooja.sullivan,True,DORMANT_ADMIN,MEDIUM,Admin account 34 days inactive
USR00028,paul.singh,False,NORMAL,NONE,Account within expected parameters
USR00029,zainab.wagner,False,NORMAL,NONE,Account within expected parameters
USR00030,yuki.meyer,False,NORMAL,NONE,Account within expected parameters
USR00031,amitabh.taylor,False,NORMAL,NONE,Account within expected parameters
USR00032,pooja.martin,False,NORMAL,NONE,Account within expected parameters
USR00033,michael.sharma,False,NORMAL,NONE,Account within expected parameters
USR00034,harsh.jones,False,NORMAL,NONE,Account within expected parameters
USR00035,nikhil.rao,True,DORMANT_ADMIN,MEDIUM,Admin account 56 days inactive
USR00036,nicholas.harris,False,NORMAL,NONE,Account within expected parameters
USR00037,ronald.wilson,False,NORMAL,NONE,Account within expected parameters
USR00038,aisha.kim,False,NORMAL,NONE,Account within expected parameters
USR00039,stephen.bhat,False,NORMAL,NONE,Account within expected parameters
USR00040,nicholas.romano,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 52 days
USR00041,matthew.huang,False,NORMAL,NONE,Account within expected parameters
USR00042,kenneth.sanchez,False,NORMAL,NONE,Account within expected parameters
USR00043,matthew.bernard,False,NORMAL,NONE,Account within expected parameters
USR00044,pooja.mishra,True,DORMANT_ADMIN,MEDIUM,Admin account 59 days inactive
USR00045,stephen.kumar,False,NORMAL,NONE,Account within expected parameters
USR00046,deepika.li,False,NORMAL,NONE,Account within expected parameters
USR00047,george.clark,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 55 days
USR00048,xiulan.colombo,False,NORMAL,NONE,Account within expected parameters
USR00049,thomas.kang,False,NORMAL,NONE,Account within expected parameters
USR00050,nisha.martinez,False,NORMAL,NONE,Account within expected parameters
USR00051,meera.quinn,False,NORMAL,NONE,Account within expected parameters
USR00052,leila.sun,False,NORMAL,NONE,Account within expected parameters
USR00053,timothy.jo,False,NORMAL,NONE,Account within expected parameters
USR00054,edward.smith,False,NORMAL,NONE,Account within expected parameters
USR00055,neha.johnson,False,NORMAL,NONE,Account within expected parameters
USR00056,william.kumar,False,NORMAL,NONE,Account within expected parameters
USR00057,zainab.jo,False,NORMAL,NONE,Account within expected parameters
USR00058,anthony.taylor,False,NORMAL,NONE,Account within expected parameters
USR00059,thomas.lewis,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 58 days
USR00060,vikram.gonzalez,False,NORMAL,NONE,Account within expected parameters
USR00061,sophia.hernandez,False,NORMAL,NONE,Account within expected parameters
USR00062,nisha.jones,False,NORMAL,NONE,Account within expected parameters
USR00063,daniel.colombo,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 52 days
USR00064,zainab.pillai,False,NORMAL,NONE,Account within expected parameters
USR00065,timothy.xu,False,NORMAL,NONE,Account within expected parameters
USR00066,ronald.martin,False,NORMAL,NONE,Account within expected parameters
USR00067,donald.wang,False,NORMAL,NONE,Account within expected parameters
USR00068,robert.patel,False,NORMAL,NONE,Account within expected parameters
USR00069,nikhil.jang,False,NORMAL,NONE,Account within expected parameters
USR00070,jeffrey.chen,False,NORMAL,NONE,Account within expected parameters
USR00071,richard.johnson,False,NORMAL,NONE,Account within expected parameters
USR00072,amitabh.park,False,NORMAL,NONE,Account within expected parameters
USR00073,joshua.becker,False,NORMAL,NONE,Account within expected parameters
USR00074,mark.he,False,NORMAL,NONE,Account within expected parameters
USR00075,timothy.huang,False,NORMAL,NONE,Account within expected parameters
USR00076,stephen.guo,False,NORMAL,NONE,Account within expected parameters
USR00077,neha.taylor,False,NORMAL,NONE,Account within expected parameters
USR00078,christopher.menon,False,NORMAL,NONE,Account within expected parameters
USR00079,varun.weber,False,NORMAL,NONE,Account within expected parameters
USR00080,david.rodriguez,False,NORMAL,NONE,Account within expected parameters
USR00081,isha.ghosh,False,NORMAL,NONE,Account within expected parameters
USR00082,arjun.hwang,True,DORMANT_ADMIN,MEDIUM,Admin account 52 days inactive
USR00083,ryan.thomas,False,NORMAL,NONE,Account within expected parameters
USR00084,aditya.gupta,True,DORMANT_ADMIN,MEDIUM,Admin account 59 days inactive
USR00085,varun.rao,False,NORMAL,NONE,Account within expected parameters
USR00086,ryan.colombo,False,NORMAL,NONE,Account within expected parameters
USR00087,aditya.taylor,False,NORMAL,NONE,Account within expected parameters
USR00088,william.jang,True,DORMANT_ADMIN,MEDIUM,Admin account 36 days inactive
USR00089,isha.chen,False,NORMAL,NONE,Account within expected parameters
USR00090,neha.o'brien,True,DORMANT_ADMIN,MEDIUM,Admin account 57 days inactive
USR00091,steven.thompson,False,NORMAL,NONE,Account within expected parameters
USR00092,charles.sullivan,False,NORMAL,NONE,Account within expected parameters
USR00093,nadia.muller,False,NORMAL,NONE,Account within expected parameters
USR00094,donald.schulz,False,NORMAL,NONE,Account within expected parameters
USR00095,priya.petit,False,NORMAL,NONE,Account within expected parameters
USR00096,edward.thomas,False,NORMAL,NONE,Account within expected parameters
USR00097,leila.lopez,False,NORMAL,NONE,Account within expected parameters
USR00098,jason.white,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 52 days
USR00099,maria.bianchi,False,NORMAL,NONE,Account within expected parameters
USR00100,aisha.hernandez,False,NORMAL,NONE,Account within expected parameters
USR00101,paul.hoffmann,False,NORMAL,NONE,Account within expected parameters
USR00102,william.garcia,False,NORMAL,NONE,Account within expected parameters
USR00103,priya.garcia,False,NORMAL,NONE,Account within expected parameters
USR00104,jeffrey.ghosh,False,NORMAL,NONE,Account within expected parameters
USR00105,gary.murphy,False,NORMAL,NONE,Account within expected parameters
USR00106,sanjana.quinn,False,NORMAL,NONE,Account within expected parameters
USR00107,daniel.anderson,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 46 days
USR00108,xiulan.romano,False,NORMAL,NONE,Account within expected parameters
USR00109,richard.martinez,False,NORMAL,NONE,Account within expected parameters
USR00110,joshua.bhat,False,NORMAL,NONE,Account within expected parameters
USR00111,james.sharma,False,NORMAL,NONE,Account within expected parameters
USR00112,ryan.rao,False,NORMAL,NONE,Account within expected parameters
USR00113,aisha.lewis,False,NORMAL,NONE,Account within expected parameters
USR00114,anjali.romano,False,NORMAL,NONE,Account within expected parameters
USR00115,steven.becker,False,NORMAL,NONE,Account within expected parameters
USR00116,nikhil.fischer,False,NORMAL,NONE,Account within expected parameters
USR00117,richard.kelly,False,NORMAL,NONE,Account within expected parameters
USR00118,michael.quinn,False,NORMAL,NONE,Account within expected parameters
USR00119,thomas.muller,False,NORMAL,NONE,Account within expected parameters
USR00120,david.sullivan,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 58 days
USR00121,joseph.perez,True,DORMANT_ADMIN,MEDIUM,Admin account 36 days inactive
USR00122,nisha.li,True,DORMANT_ADMIN,MEDIUM,Admin account 43 days inactive
USR00123,paul.lee,False,NORMAL,NONE,Account within expected parameters
USR00124,david.russo,False,NORMAL,NONE,Account within expected parameters
USR00125,kenneth.verma,True,DORMANT_ADMIN,MEDIUM,Admin account 43 days inactive
USR00126,mark.patel,False,NORMAL,NONE,Account within expected parameters
USR00127,amitabh.davis,False,NORMAL,NONE,Account within expected parameters
USR00128,michael.rossi,False,NORMAL,NONE,Account within expected parameters
USR00129,sanjana.burke,False,NORMAL,NONE,Account within expected parameters
USR00130,jeffrey.garcia,False,NORMAL,NONE,Account within expected parameters
USR00131,david.yang,False,NORMAL,NONE,Account within expected parameters
USR00132,xiulan.lim,False,NORMAL,NONE,Account within expected parameters
USR00133,fatima.patel,False,NORMAL,NONE,Account within expected parameters
USR00134,richard.li,False,NORMAL,NONE,Account within expected parameters
USR00135,pooja.murphy,False,NORMAL,NONE,Account within expected parameters
USR00136,maria.jo,False,NORMAL,NONE,Account within expected parameters
USR00137,jason.dubois,False,NORMAL,NONE,Account within expected parameters
USR00138,pooja.lewis,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 49 days
USR00139,akshay.choi,False,NORMAL,NONE,Account within expected parameters
USR00140,riya.lim,False,NORMAL,NONE,Account within expected parameters
USR00141,richard.yang,False,NORMAL,NONE,Account within expected parameters
USR00142,harsh.bernard,False,NORMAL,NONE,Account within expected parameters
USR00143,maria.gonzalez,False,NORMAL,NONE,Account within expected parameters
USR00144,amitabh.rossi,False,NORMAL,NONE,Account within expected parameters
USR00145,daniel.davis,False,NORMAL,NONE,Account within expected parameters
USR00146,pooja.clark,False,NORMAL,NONE,Account within expected parameters
USR00147,anthony.davis,False,NORMAL,NONE,Account within expected parameters
USR00148,mark.hwang,False,NORMAL,NONE,Account within expected parameters
USR00149,amara.sullivan,True,DORMANT_ADMIN,MEDIUM,Admin account 39 days inactive
USR00150,daniel.wagner,False,NORMAL,NONE,Account within expected parameters
USR00151,priya.white,False,NORMAL,NONE,Account within expected parameters
USR00152,diya.ghosh,True,DORMANT_ELEVATED_ACCOUNT,MEDIUM,Power-user inactive 47 days
USR00153,edward.rizzo,False,NORMAL,NONE,Account within expected parameters
USR00154,varun.petit,True,DORMANT_ADMIN,MEDIUM,Admin account 35 days inactive
USR00155,varun.colombo,True,DORMANT_ADMIN,MEDIUM,Admin account 35 days inactive
USR00156,amitabh.white,False,NORMAL,NONE,Account within expected parameters
USR00157,shruti.rossi,False,NORMAL,NONE,Account within expected parameters
USR00158,arjun.sanchez,False,NORMAL,NONE,Account within expected parameters
USR00159,fatima.lee,False,NORMAL,NONE,Account within expected parameters
USR00160,kevin.rao,False,NORMAL,NONE,Account within expected parameters
USR00161,timothy.rao,False,NORMAL,NONE,Account within expected parameters
USR00162,thomas.russo,True,DORMANT_ADMIN,MEDIUM,Admin account 34 days inactive
USR00163,sofia.rao,False,NORMAL,NONE,Account within expected parameters
USR00164,anjali.sun,False,NORMAL,NONE,Account within expected parameters
USR00165,paul.o'brien,False,NORMAL,NONE,Account within expected parameters
