record_id,user_id,username,is_anomaly,anomaly_type,severity,explanation
0,USR00173,christopher.meyer,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-04-20 13:02:00
1,USR00046,deepika.li,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-04-22 05:48:00
2,USR00200,joseph.guo,False,NORMAL,NONE,Normal access event within expected pattern
3,USR00021,rohan.harris,False,NORMAL,NONE,Normal access event within expected pattern
4,USR00164,anjali.sun,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-04-24 16:05:00
5,USR00096,edward.thomas,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-04-25 10:45:00
6,USR00059,thomas.lewis,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-04-28 00:44:00
7,USR00299,leila.lee,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-04-28 01:31:00
8,USR00028,paul.singh,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-04-29 22:34:00
9,USR00210,charles.lopez,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-04-30 02:52:00
10,USR00179,xiulan.sharma,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-04-30 10:13:00
11,USR00121,joseph.perez,False,NORMAL,NONE,Normal access event within expected pattern
12,USR00150,daniel.wagner,False,NORMAL,NONE,Normal access event within expected pattern
13,USR00036,nicholas.harris,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-05-05 16:15:00
14,USR00061,sophia.hernandez,False,NORMAL,NONE,Normal access event within expected pattern
15,USR00010,jacob.patel,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-05-07 06:00:00
16,USR00085,varun.rao,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-05-08 16:48:00
17,USR00002,kenneth.moore,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-05-08 19:40:00
18,USR00087,aditya.taylor,False,NORMAL,NONE,Normal access event within expected pattern
19,USR00151,priya.white,False,NORMAL,NONE,Normal access event within expected pattern
20,USR00004,diya.anderson,False,NORMAL,NONE,Normal access event within expected pattern
21,USR00032,pooja.martin,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-05-12 07:58:00
22,USR00211,rajesh.gupta,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-05-14 13:52:00
23,USR00270,robert.ramirez,False,NORMAL,NONE,Normal access event within expected pattern
24,USR00222,jason.rizzo,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-05-15 13:58:00
25,USR00122,nisha.li,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-05-18 04:24:00
26,USR00124,david.russo,False,NORMAL,NONE,Normal access event within expected pattern
