record_id,requirement_id,framework,is_anomaly,anomaly_type,severity,explanation
EVD00000,REQ959,HIPAA,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00001,REQ404,ISO27001,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.57) may not pass audit
EVD00002,REQ218,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 153 days old and not yet approved
EVD00003,REQ891,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 106 days old and not yet approved
EVD00004,REQ313,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00005,REQ685,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00006,REQ524,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00007,REQ902,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00008,REQ894,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00009,REQ468,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 122 days old and not yet approved
EVD00010,REQ180,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 127 days old and not yet approved
EVD00011,REQ552,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00012,REQ325,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 134 days old and not yet approved
EVD00013,REQ728,GDPR,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00014,REQ925,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00015,REQ176,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 99 days old and not yet approved
EVD00016,REQ197,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 133 days old and not yet approved
EVD00017,REQ403,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00018,REQ299,ISO27001,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00019,REQ126,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00020,REQ561,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 166 days old and not yet approved
EVD00021,REQ573,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 179 days old and not yet approved
EVD00022,REQ770,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 179 days old and not yet approved
EVD00023,REQ610,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 107 days old and not yet approved
EVD00024,REQ871,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00025,REQ891,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
